location,skew,distortion
baltimore,100,13
baltimore,200,13
baltimore,500,13
baltimore,1000,13
baltimore,2000,13
baltimore,5000,13
baltimore,10000,12
baltimore,20000,12
baltimore,50000,4
new_york,100,14
new_york,200,14
new_york,500,14
new_york,1000,14
new_york,2000,13
new_york,5000,12
new_york,10000,8
new_york,20000,6
new_york,50000,0
newhaven,100,12
newhaven,200,12
newhaven,500,12
newhaven,1000,11
newhaven,2000,11
newhaven,5000,11
newhaven,10000,9
newhaven,20000,8
newhaven,50000,0
redmond,100,20
redmond,200,20
redmond,500,20
redmond,1000,20
redmond,2000,20
redmond,5000,20
redmond,10000,20
redmond,20000,20
redmond,50000,18
