location,skew,distortion
baltimore,100,45
baltimore,200,44
baltimore,500,44
baltimore,1000,42
baltimore,2000,37
baltimore,5000,22
baltimore,10000,7
baltimore,20000,3
baltimore,50000,0
dallas,100,45
dallas,200,45
dallas,500,43
dallas,1000,42
dallas,2000,38
dallas,5000,30
dallas,10000,7
dallas,20000,0
dallas,50000,0
decatur,100,45
decatur,200,45
decatur,500,45
decatur,1000,44
decatur,2000,44
decatur,5000,42
decatur,10000,40
decatur,20000,37
decatur,50000,0
new_york,100,45
new_york,200,43
new_york,500,42
new_york,1000,40
new_york,2000,38
new_york,5000,19
new_york,10000,12
new_york,20000,8
new_york,50000,0
newhaven,100,45
newhaven,200,45
newhaven,500,43
newhaven,1000,43
newhaven,2000,38
newhaven,5000,33
newhaven,10000,19
newhaven,20000,2
newhaven,50000,0
redmond,100,45
redmond,200,45
redmond,500,44
redmond,1000,43
redmond,2000,40
redmond,5000,36
redmond,10000,32
redmond,20000,6
redmond,50000,0
