location,skew,distortion
baltimore,100,25
baltimore,200,24
baltimore,500,24
baltimore,1000,22
baltimore,2000,18
baltimore,5000,6
baltimore,10000,0
baltimore,20000,0
baltimore,50000,0
dallas,100,25
dallas,200,25
dallas,500,23
dallas,1000,21
dallas,2000,19
dallas,5000,10
dallas,10000,0
dallas,20000,0
dallas,50000,0
decatur,100,25
decatur,200,25
decatur,500,24
decatur,1000,24
decatur,2000,24
decatur,5000,23
decatur,10000,22
decatur,20000,22
decatur,50000,0
new_york,100,25
new_york,200,25
new_york,500,24
new_york,1000,22
new_york,2000,21
new_york,5000,6
new_york,10000,6
new_york,20000,0
new_york,50000,0
newhaven,100,25
newhaven,200,25
newhaven,500,24
newhaven,1000,22
newhaven,2000,20
newhaven,5000,16
newhaven,10000,6
newhaven,20000,0
newhaven,50000,0
redmond,100,25
redmond,200,25
redmond,500,24
redmond,1000,24
redmond,2000,22
redmond,5000,16
redmond,10000,16
redmond,20000,0
redmond,50000,0
