location,skew,distortion
baltimore,100,5
baltimore,200,13
baltimore,500,16
baltimore,1000,21
baltimore,2000,26
baltimore,5000,30
baltimore,10000,30
baltimore,20000,30
baltimore,50000,30
dallas,100,8
dallas,200,10
dallas,500,19
dallas,1000,24
dallas,2000,29
dallas,5000,30
dallas,10000,30
dallas,20000,30
dallas,50000,30
decatur,100,4
decatur,200,6
decatur,500,10
decatur,1000,10
decatur,2000,16
decatur,5000,19
decatur,10000,22
decatur,20000,28
decatur,50000,30
new_york,100,10
new_york,200,15
new_york,500,23
new_york,1000,25
new_york,2000,30
new_york,5000,30
new_york,10000,30
new_york,20000,30
new_york,50000,30
newhaven,100,7
newhaven,200,10
newhaven,500,16
newhaven,1000,24
newhaven,2000,27
newhaven,5000,30
newhaven,10000,30
newhaven,20000,30
newhaven,50000,30
redmond,100,4
redmond,200,10
redmond,500,12
redmond,1000,19
redmond,2000,22
redmond,5000,30
redmond,10000,30
redmond,20000,30
redmond,50000,30
