location,skew,distortion
baltimore,100,4
baltimore,200,10
baltimore,500,12
baltimore,1000,16
baltimore,2000,22
baltimore,5000,25
baltimore,10000,25
baltimore,20000,25
baltimore,50000,25
dallas,100,6
dallas,200,8
dallas,500,16
dallas,1000,20
dallas,2000,24
dallas,5000,25
dallas,10000,25
dallas,20000,25
dallas,50000,25
decatur,100,2
decatur,200,4
decatur,500,8
decatur,1000,8
decatur,2000,12
decatur,5000,15
decatur,10000,18
decatur,20000,23
decatur,50000,25
new_york,100,7
new_york,200,13
new_york,500,20
new_york,1000,20
new_york,2000,25
new_york,5000,25
new_york,10000,25
new_york,20000,25
new_york,50000,25
newhaven,100,7
newhaven,200,9
newhaven,500,13
newhaven,1000,21
newhaven,2000,23
newhaven,5000,25
newhaven,10000,25
newhaven,20000,25
newhaven,50000,25
redmond,100,2
redmond,200,7
redmond,500,7
redmond,1000,15
redmond,2000,18
redmond,5000,25
redmond,10000,25
redmond,20000,25
redmond,50000,25
