location,skew,distortion
baltimore,50000,45
baltimore,500,24
baltimore,5000,45
baltimore,10000,45
baltimore,100,0
baltimore,20000,45
baltimore,200,18
baltimore,2000,40
baltimore,1000,32
decatur,50000,45
decatur,500,12
decatur,5000,28
decatur,10000,32
decatur,100,0
decatur,20000,41
decatur,200,6
decatur,2000,24
decatur,1000,13
redmond,50000,45
redmond,500,24
redmond,5000,45
redmond,10000,45
redmond,100,0
redmond,20000,45
redmond,200,13
redmond,2000,36
redmond,1000,30
new_york,50000,45
new_york,500,26
new_york,5000,42
new_york,10000,45
new_york,100,0
new_york,20000,45
new_york,200,20
new_york,2000,37
new_york,1000,36
dallas,50000,45
dallas,500,31
dallas,5000,44
dallas,10000,45
dallas,100,0
dallas,20000,45
dallas,200,14
dallas,2000,43
dallas,1000,37
newhaven,50000,45
newhaven,500,25
newhaven,5000,43
newhaven,10000,45
newhaven,100,0
newhaven,20000,45
newhaven,200,2
newhaven,2000,40
newhaven,1000,34
