location,skew,distortion
baltimore,100,38
baltimore,200,54
baltimore,500,67
baltimore,1000,76
baltimore,2000,87
baltimore,5000,99
baltimore,10000,100
baltimore,20000,100
baltimore,50000,100
dallas,100,26
dallas,200,28
dallas,500,59
dallas,1000,82
dallas,2000,84
dallas,5000,94
dallas,10000,99
dallas,20000,98
dallas,50000,100
decatur,100,0
decatur,200,0
decatur,500,0
decatur,1000,0
decatur,2000,2
decatur,5000,5
decatur,10000,6
decatur,20000,6
decatur,50000,10
newhaven,100,20
newhaven,200,24
newhaven,500,38
newhaven,1000,42
newhaven,2000,63
newhaven,5000,78
newhaven,10000,88
newhaven,20000,88
newhaven,50000,73
new_york,100,35
new_york,200,48
new_york,500,70
new_york,1000,76
new_york,2000,89
new_york,5000,97
new_york,10000,99
new_york,20000,100
new_york,50000,100
redmond,100,20
redmond,200,39
redmond,500,50
redmond,1000,72
redmond,2000,80
redmond,5000,96
redmond,10000,98
redmond,20000,99
redmond,50000,100
