location,skew,distortion
baltimore,100,17
baltimore,200,24
baltimore,500,30
baltimore,1000,38
baltimore,2000,45
baltimore,5000,50
baltimore,10000,50
baltimore,20000,50
baltimore,50000,50
dallas,100,11
dallas,200,21
dallas,500,25
dallas,1000,37
dallas,2000,40
dallas,5000,48
dallas,10000,50
dallas,20000,50
dallas,50000,50
decatur,100,0
decatur,200,0
decatur,500,0
decatur,1000,0
decatur,2000,2
decatur,5000,5
decatur,10000,6
decatur,20000,6
decatur,50000,10
newhaven,100,13
newhaven,200,15
newhaven,500,29
newhaven,1000,31
newhaven,2000,43
newhaven,5000,47
newhaven,10000,49
newhaven,20000,50
newhaven,50000,50
new_york,100,15
new_york,200,24
new_york,500,35
new_york,1000,36
new_york,2000,44
new_york,5000,47
new_york,10000,49
new_york,20000,50
new_york,50000,50
redmond,100,12
redmond,200,19
redmond,500,21
redmond,1000,34
redmond,2000,42
redmond,5000,49
redmond,10000,49
redmond,20000,50
redmond,50000,50
