location,skew,distortion
baltimore,100,30
baltimore,200,29
baltimore,500,28
baltimore,1000,27
baltimore,2000,22
baltimore,5000,16
baltimore,10000,4
baltimore,20000,0
baltimore,50000,0
dallas,100,30
dallas,200,30
dallas,500,29
dallas,1000,27
dallas,2000,26
dallas,5000,18
dallas,10000,8
dallas,20000,6
dallas,50000,0
decatur,100,6
decatur,200,6
decatur,500,6
decatur,1000,6
decatur,2000,6
decatur,5000,6
decatur,10000,6
decatur,20000,6
decatur,50000,0
newhaven,100,30
newhaven,200,30
newhaven,500,29
newhaven,1000,29
newhaven,2000,27
newhaven,5000,26
newhaven,10000,20
newhaven,20000,12
newhaven,50000,0
new_york,100,29
new_york,200,29
new_york,500,29
new_york,1000,28
new_york,2000,28
new_york,5000,26
new_york,10000,10
new_york,20000,0
new_york,50000,0
redmond,100,30
redmond,200,30
redmond,500,30
redmond,1000,29
redmond,2000,28
redmond,5000,22
redmond,10000,20
redmond,20000,4
redmond,50000,0
