location,skew,distortion
baltimore,100,200
baltimore,200,200
baltimore,500,199
baltimore,1000,196
baltimore,2000,193
baltimore,5000,179
baltimore,10000,155
baltimore,20000,122
baltimore,50000,0
dallas,100,157
dallas,200,157
dallas,500,155
dallas,1000,145
dallas,2000,143
dallas,5000,131
dallas,10000,103
dallas,20000,58
dallas,50000,0
decatur,100,6
decatur,200,6
decatur,500,6
decatur,1000,6
decatur,2000,6
decatur,5000,6
decatur,10000,6
decatur,20000,6
decatur,50000,0
newhaven,100,73
newhaven,200,73
newhaven,500,73
newhaven,1000,73
newhaven,2000,72
newhaven,5000,71
newhaven,10000,67
newhaven,20000,61
newhaven,50000,0
new_york,100,198
new_york,200,197
new_york,500,196
new_york,1000,194
new_york,2000,184
new_york,5000,164
new_york,10000,133
new_york,20000,56
new_york,50000,0
redmond,100,113
redmond,200,112
redmond,500,113
redmond,1000,112
redmond,2000,113
redmond,5000,107
redmond,10000,106
redmond,20000,65
redmond,50000,0
