emulator-5556
I/umd.troyd(  840): acp.clientlib.AcpAct
D/umd.troyd(  840): android.widget.TextView: View Prescription History (14)
D/umd.troyd(  840): android.widget.ImageView@405c3720: 2131558517 (15)
D/umd.troyd(  840): android.widget.LinearLayout@406642c8: -1 (16)
D/umd.troyd(  840): android.widget.RelativeLayout@40669f78: 2131558607 (17)
D/umd.troyd(  840): android.widget.TextView: Browse $4 Prescriptions (18)
D/umd.troyd(  840): android.widget.ImageView@4066a2a0: 2131558517 (19)
D/umd.troyd(  840): android.widget.LinearLayout@4068c468: -1 (20)
D/umd.troyd(  840): android.widget.RelativeLayout@40516ce8: 2131558607 (21)
D/umd.troyd(  840): android.widget.TextView: Find a Walmart Pharmacy (22)
D/umd.troyd(  840): android.widget.ImageView@4055e800: 2131558517 (23)
D/umd.troyd(  840): android.widget.LinearLayout@40668f70: -1 (24)
D/umd.troyd(  840): android.widget.ImageView@40669590: -1 (25)
D/umd.troyd(  840): android.widget.TextView: Pharmacy Privacy Note (26)
D/umd.troyd(  840): android.widget.RelativeLayout@40521148: 2131558541 (27)
D/umd.troyd(  840): android.widget.GridView@40629040: 2131558824 (28)
D/umd.troyd(  840): android.widget.LinearLayout@406659a8: 2131558538 (29)
D/umd.troyd(  840): android.widget.RelativeLayout@4065e1d0: 2131558818 (30)
D/umd.troyd(  840): android.widget.ImageButton@406802d8: 2131558819 (31)
D/umd.troyd(  840): android.widget.RelativeLayout@405ee6b0: -1 (32)
D/umd.troyd(  840): android.widget.ImageView@4065c120: 2131558820 (33)
D/umd.troyd(  840): android.widget.TextView: Pharmacy (34)
D/umd.troyd(  840): android.widget.RelativeLayout@405dffa8: -1 (35)
D/umd.troyd(  840): android.widget.Button:  (36)
D/umd.troyd(  840): android.widget.ImageView@406691b0: 2131558823 (37)
