location,skew,distortion
redmond,50000,0
redmond,500,10
redmond,5000,8
redmond,10000,8
redmond,100,10
redmond,20000,3
redmond,200,10
redmond,2000,10
redmond,1000,10
new_york,50000,0
new_york,500,18
new_york,5000,11
new_york,10000,5
new_york,100,25
new_york,20000,2
new_york,200,18
new_york,2000,12
new_york,1000,20
baltimore,50000,0
baltimore,500,25
baltimore,5000,16
baltimore,10000,10
baltimore,100,25
baltimore,20000,6
baltimore,200,25
baltimore,2000,22
baltimore,1000,23
dallas,50000,2
dallas,500,24
dallas,5000,9
dallas,10000,5
dallas,100,25
dallas,20000,1
dallas,200,25
dallas,2000,17
dallas,1000,22
decatur,50000,0
decatur,500,1
decatur,10000,1
decatur,100,1
decatur,20000,0
decatur,200,1
decatur,2000,1
decatur,1000,1
