location,skew,distortion
baltimore,100,26
baltimore,200,26
baltimore,500,26
baltimore,1000,26
baltimore,2000,26
baltimore,5000,26
baltimore,10000,25
baltimore,20000,25
baltimore,50000,19
dallas,100,26
dallas,200,26
dallas,500,26
dallas,1000,26
dallas,2000,25
dallas,5000,23
dallas,10000,20
dallas,20000,16
dallas,50000,10
decatur,100,26
decatur,200,26
decatur,500,26
decatur,1000,26
decatur,2000,25
decatur,5000,25
decatur,10000,22
decatur,20000,22
decatur,50000,16
new_york,100,26
new_york,200,26
new_york,500,26
new_york,1000,26
new_york,2000,26
new_york,5000,26
new_york,10000,25
new_york,20000,23
new_york,50000,18
newhaven,100,26
newhaven,200,26
newhaven,500,26
newhaven,1000,26
newhaven,2000,26
newhaven,5000,26
newhaven,10000,24
newhaven,20000,24
newhaven,50000,19
redmond,100,26
redmond,200,26
redmond,500,26
redmond,1000,26
redmond,2000,26
redmond,5000,26
redmond,10000,26
redmond,20000,25
redmond,50000,24
