location,skew,distortion
baltimore,100,15
baltimore,200,15
baltimore,500,15
baltimore,1000,15
baltimore,2000,15
baltimore,5000,14
baltimore,10000,14
baltimore,20000,13
baltimore,50000,10
dallas,100,15
dallas,200,15
dallas,500,15
dallas,1000,15
dallas,2000,14
dallas,5000,14
dallas,10000,11
dallas,20000,7
dallas,50000,2
decatur,100,15
decatur,200,15
decatur,500,15
decatur,1000,15
decatur,2000,14
decatur,5000,13
decatur,10000,11
decatur,20000,11
decatur,50000,6
new_york,100,15
new_york,200,15
new_york,500,15
new_york,1000,15
new_york,2000,15
new_york,5000,14
new_york,10000,14
new_york,20000,12
new_york,50000,10
newhaven,100,15
newhaven,200,15
newhaven,500,15
newhaven,1000,15
newhaven,2000,15
newhaven,5000,14
newhaven,10000,13
newhaven,20000,12
newhaven,50000,8
redmond,100,15
redmond,200,15
redmond,500,15
redmond,1000,15
redmond,2000,15
redmond,5000,14
redmond,10000,14
redmond,20000,13
redmond,50000,8
